user_id,whisky_id,points_overall,nose_text,taste_text,finish_text,nose_rating,taste_rating,finish_rating
hs305,1,86.0,The colour is amontillad and the texture shows a few slow late legs and late fat tears. The nose is all about a honey-sweet sherry profile with some vanilla-driven aromas. Just as you would expect from the two casks it matured in. I like it when marketing and reality fit together...,"The taste is on honey, vanilla -toffee and some sherry-induced flavours like dark chocolate and raisins. Not the slightest trace of sulphur, so congrats to an excellent cask management at Balvenie. The wood is still a little heavy and bitter but not as extreme as with the first mouthfeel. It is bearable now and after a while even enjoyable.","The dram arrives in the mouth gentle and smooth but with some astringent feelings from heavy tannins that I do not like. Another victim to the cask shortage crisis (some virgin oak in there)? Not too sure about that but it feels this way. The finish is of medium length and gets more chocolatey, really nice. Just a slight dryness from the wood (not unpleasant here).",88,81,85
DulischM,1,76.0,"At the beginning the whisky is sweet on the nose and characterized by vanilla, which changes into aromas of spring-like light honey. At the end there is some nutty, malty sweetness.","In the mouth it is light and pleasantly sweet, vanilla and honey are great in harmony and there is a hint of sherry under everything. The malt sweetness passes over to the aroma of young, but dry wood after a long time.","The finish is sweet with a little honey, malt sweetness remains on the palate. When the whisky has already left the palate, a tiny bit of fresh grass and wood aroma emerges.",,,
Jack Marinello,1,82.0,"Fruits, peach, kiwi, vanilla, wood","Fruits, vanilla, sugar, sweet, honey",short,,,
Punktar,1,85.0,"Yellow fruits, some sherry and honey. Anyway, in the first nose. After that comes more honey. And some vanilla? Smells very intense and how a good Speysider should smell. For those who liked the old Founders Reserve, it took a bit of getting used to. But I like it so far.","Hmm, soft, fruity and vanilla. Just another sip ... Now with some honey and something like cinnamon in the background? Just another sip! Clearly yellow fruits (and mandarin?) And vanilla. A little bit of alcohol, but that does not really bother. Delicious! One more ... No, I just want to try.","Pretty long and pleasant. Long-lasting fruity tangerine, now more pronounced than before.",,,
Stanzeflasche,1,83.0,,,,84,82,83
Danny1968,1,91.0,,,,,,
DavidH.,1,83.0,,,,85,83,83
StyrianSpirit,1,84.0,,,,85,85,81
maltaholic,1,84.0,,,,87,84,85
vojt466,1,83.0,"Sherry in a symbiosis with citrus fruit, vanilla, dried fruit, nuts, light earthy, and quite a good dose of spice.","Again, sherry tones, raisins, figs, vanilla, fruit compote and fine cinnamon. Very pleasant, however, 40% of alcohol keeps the taste unnecessarily back","In the reverberation from the beginning of the dried fruit, later vanilla, hazelnut and finally dried in combination with a slightly alcoholic tone",,,
pere,2,85.0,"Sweet, fruits, flowers, a bit of perfume, fresh, cereal, a hint of smoke, a hint of soap.","Sweet, sugary, honey, a bit of malt, light spiciness, cinnamon, oak, fruits.","Spices, sweetness, a bit of oak, fruits, malt.",,,
Rien,2,86.0,,,,86,87,85
Whiskydufftown,2,86.0,,,,86,87,86
Waykid,2,78.0,,,,,,
AH Whiskyvitrine,2,85.0,,,,89,86,84
Gronqvist,2,,,,,,,
P.A.O.K.you_are,2,87.0,,,,,,
Erik Elixir,2,85.0,"oily, fruits, honey, bourbon - corn, plums and nuts","sweet, malty, chocolate and vanilla",bitter and vanilla,,,
aby,2,85.0,,,,,,
Malt Hans,2,89.0,,,,,,
